BUF | Tyler Ennis | Interference | AWAY | SJS | 2014-10-25 | Dennis LaRue | Tim Peel  
SJS | Tommy Wingels | Holding the stick | HOME | BUF | 2014-10-25 | Dennis LaRue | Tim Peel  
FLA | Tomas Kopecky | Unsportsmanlike conduct | HOME | ARI | 2014-10-25 | Mike Leggo | Justin St. Pierre  
ARI | Justin Hodgman | Slashing | AWAY | FLA | 2014-10-25 | Mike Leggo | Justin St. Pierre  
FLA | Jonathan Huberdeau | Hooking | HOME | ARI | 2014-10-25 | Mike Leggo | Justin St. Pierre  
FLA | Dmitry Kulikov | Hooking | HOME | ARI | 2014-10-25 | Mike Leggo | Justin St. Pierre  
FLA | Jussi Jokinen | Tripping | HOME | ARI | 2014-10-25 | Mike Leggo | Justin St. Pierre  
ARI | Rob Klinkhammer | Hooking | AWAY | FLA | 2014-10-25 | Mike Leggo | Justin St. Pierre  
FLA | Sean Bergenheim | Tripping | HOME | ARI | 2014-10-25 | Mike Leggo | Justin St. Pierre  
FLA | Sean Bergenheim | Tripping | HOME | ARI | 2014-10-25 | Mike Leggo | Justin St. Pierre  
FLA | Erik Gudbranson | Delaying Game-Puck over glass | HOME | ARI | 2014-10-25 | Mike Leggo | Justin St. Pierre  
FLA | Aleksander Barkov | Hi-sticking | HOME | ARI | 2014-10-25 | Mike Leggo | Justin St. Pierre  
CGY | Joe Colborne | Tripping | AWAY | WSH | 2014-10-25 | Paul Devorski | Kelly Sutherland  
WSH | Troy Brouwer | Roughing | HOME | CGY | 2014-10-25 | Paul Devorski | Kelly Sutherland  
WSH | Brooks Orpik | Tripping | HOME | CGY | 2014-10-25 | Paul Devorski | Kelly Sutherland  
WSH | Brooks Orpik | Roughing | HOME | CGY | 2014-10-25 | Paul Devorski | Kelly Sutherland  
CGY | Brandon Bollig | Roughing | AWAY | WSH | 2014-10-25 | Paul Devorski | Kelly Sutherland  
CGY | Brandon Bollig | Misconduct (10 min) | AWAY | WSH | 2014-10-25 | Paul Devorski | Kelly Sutherland  
CGY | Brandon Bollig | Roughing | AWAY | WSH | 2014-10-25 | Paul Devorski | Kelly Sutherland  
WSH | Troy Brouwer | Slashing | HOME | CGY | 2014-10-25 | Paul Devorski | Kelly Sutherland  
CGY | TJ Brodie | Slashing | AWAY | WSH | 2014-10-25 | Paul Devorski | Kelly Sutherland  
WSH | Eric Fehr | Roughing | HOME | CGY | 2014-10-25 | Paul Devorski | Kelly Sutherland  
CGY | Curtis Glencross | Roughing | AWAY | WSH | 2014-10-25 | Paul Devorski | Kelly Sutherland  
CGY | Curtis Glencross | Misconduct (10 min) | AWAY | WSH | 2014-10-25 | Paul Devorski | Kelly Sutherland  
BOS | Patrice Bergeron | Tripping | AWAY | TOR | 2014-10-25 | Chris Rooney | Brian Pochmara  
TOR | David Clarkson | Boarding | HOME | BOS | 2014-10-25 | Chris Rooney | Brian Pochmara  
TOR | David Clarkson | Hooking | HOME | BOS | 2014-10-25 | Chris Rooney | Brian Pochmara  
BOS | Adam McQuaid | Holding | AWAY | TOR | 2014-10-25 | Chris Rooney | Brian Pochmara  
BOS | Gregory Campbell | Hooking | AWAY | TOR | 2014-10-25 | Chris Rooney | Brian Pochmara  
TOR | David Clarkson | Hi-sticking | HOME | BOS | 2014-10-25 | Chris Rooney | Brian Pochmara  
TOR | Stuart Percy | Hi-sticking | HOME | BOS | 2014-10-25 | Chris Rooney | Brian Pochmara  
BOS | Dougie Hamilton | Hi-sticking | AWAY | TOR | 2014-10-25 | Chris Rooney | Brian Pochmara  
TOR | James van Riemsdyk | Cross checking | HOME | BOS | 2014-10-25 | Chris Rooney | Brian Pochmara  
MTL | Dale Weise | Interference | AWAY | NYR | 2014-10-25 | Dan O'Halloran | Ghislain Hebert  
MTL | Manny Malhotra | Holding | AWAY | NYR | 2014-10-25 | Dan O'Halloran | Ghislain Hebert  
MTL | Brandon Prust | Fighting (maj) | AWAY | NYR | 2014-10-25 | Dan O'Halloran | Ghislain Hebert  
NYR | Kevin Klein | Fighting (maj) | HOME | MTL | 2014-10-25 | Dan O'Halloran | Ghislain Hebert  
NYR | Derick Brassard | Slashing | HOME | MTL | 2014-10-25 | Dan O'Halloran | Ghislain Hebert  
NJD | Bryce Salvador | Holding | AWAY | OTT | 2014-10-25 | Wes McCauley | Gord Dwyer  
NJD | Marek Zidlicky | Tripping | AWAY | OTT | 2014-10-25 | Wes McCauley | Gord Dwyer  
OTT | Curtis Lazar | Tripping | HOME | NJD | 2014-10-25 | Wes McCauley | Gord Dwyer  
NJD | Stephen Gionta | Hooking | AWAY | OTT | 2014-10-25 | Wes McCauley | Gord Dwyer  
OTT | Mark Borowiecki | Holding | HOME | NJD | 2014-10-25 | Wes McCauley | Gord Dwyer  
OTT | Chris Phillips | Unsportsmanlike conduct | HOME | NJD | 2014-10-25 | Wes McCauley | Gord Dwyer  
NJD | Tuomo Ruutu | Roughing | AWAY | OTT | 2014-10-25 | Wes McCauley | Gord Dwyer  
OTT | Chris Phillips | Roughing | HOME | NJD | 2014-10-25 | Wes McCauley | Gord Dwyer  
OTT | Patrick Wiercioch | Tripping | HOME | NJD | 2014-10-25 | Wes McCauley | Gord Dwyer  
NJD | Bryce Salvador | Interference | AWAY | OTT | 2014-10-25 | Wes McCauley | Gord Dwyer  
OTT | Clarke MacArthur | Hi-sticking | HOME | NJD | 2014-10-25 | Wes McCauley | Gord Dwyer  
NYI | Brian Strait | Hooking | HOME | DAL | 2014-10-25 | Frederick L'Ecuyer | Greg Kimmerly  
NYI | Thomas Hickey | Interference | HOME | DAL | 2014-10-25 | Frederick L'Ecuyer | Greg Kimmerly  
DAL | Shawn Horcoff | Interference | AWAY | NYI | 2014-10-25 | Frederick L'Ecuyer | Greg Kimmerly  
NYI | Casey Cizikas | Hooking | HOME | DAL | 2014-10-25 | Frederick L'Ecuyer | Greg Kimmerly  
DAL | Patrick Eaves | Interference | AWAY | NYI | 2014-10-25 | Frederick L'Ecuyer | Greg Kimmerly  
NYI | Nick Leddy | Tripping | HOME | DAL | 2014-10-25 | Frederick L'Ecuyer | Greg Kimmerly  
NYI | Matt Martin | Hooking | HOME | DAL | 2014-10-25 | Frederick L'Ecuyer | Greg Kimmerly  
DET | Henrik Zetterberg | Holding | AWAY | PHI | 2014-10-25 | Francis Charron | Dan O'Rourke  
PHI | Matt Read | Hi-sticking | HOME | DET | 2014-10-25 | Francis Charron | Dan O'Rourke  
DET | Kyle Quincey | Holding | AWAY | PHI | 2014-10-25 | Francis Charron | Dan O'Rourke  
PHI | Claude Giroux | Slashing | HOME | DET | 2014-10-25 | Francis Charron | Dan O'Rourke  
DET | Jonathan Ericsson | Hooking | AWAY | PHI | 2014-10-25 | Francis Charron | Dan O'Rourke  
PHI | Brayden Schenn | Embellishment | HOME | DET | 2014-10-25 | Francis Charron | Dan O'Rourke  
DET | Andrej Nestrasil | Hooking | AWAY | PHI | 2014-10-25 | Francis Charron | Dan O'Rourke  
DET | Joakim Andersson | Delay Gm - Face-off Violation | AWAY | PHI | 2014-10-25 | Francis Charron | Dan O'Rourke  
PHI | R.J. Umberger | Tripping | HOME | DET | 2014-10-25 | Francis Charron | Dan O'Rourke  
DET | Niklas Kronwall | Holding | AWAY | PHI | 2014-10-25 | Francis Charron | Dan O'Rourke  
STL | Jay Bouwmeester | Hooking | HOME | CHI | 2014-10-25 | Jean Hebert | Marc Joannette  
STL | Barret Jackman | Roughing | HOME | CHI | 2014-10-25 | Jean Hebert | Marc Joannette  
CHI | Trevor van Riemsdyk | Hooking | AWAY | STL | 2014-10-25 | Jean Hebert | Marc Joannette  
CHI | Brad Richards | Tripping | AWAY | STL | 2014-10-25 | Jean Hebert | Marc Joannette  
STL | Alex Pietrangelo | Hi-sticking | HOME | CHI | 2014-10-25 | Jean Hebert | Marc Joannette  
CHI | Johnny Oduya | Roughing | AWAY | STL | 2014-10-25 | Jean Hebert | Marc Joannette  
CHI | Niklas Hjalmarsson | Cross checking | AWAY | STL | 2014-10-25 | Jean Hebert | Marc Joannette  
STL | Steve Ott | Slashing | HOME | CHI | 2014-10-25 | Jean Hebert | Marc Joannette  
NSH | Olli Jokinen | Holding | AWAY | PIT | 2014-10-25 | Rob Martell | Francois St. Laurent  
PIT | Steve Downie | Hooking | HOME | NSH | 2014-10-25 | Rob Martell | Francois St. Laurent  
PIT | Steve Downie | Too many men/ice - bench | HOME | NSH | 2014-10-25 | Rob Martell | Francois St. Laurent  
NSH | Eric Nystrom | Holding | AWAY | PIT | 2014-10-25 | Rob Martell | Francois St. Laurent  
NSH | James Neal | Hooking | AWAY | PIT | 2014-10-25 | Rob Martell | Francois St. Laurent  
PIT | Steve Downie | Too many men/ice - bench | HOME | NSH | 2014-10-25 | Rob Martell | Francois St. Laurent  
MIN | Marco Scandella | Fighting (maj) | AWAY | TBL | 2014-10-25 | Chris Lee | Tom Chmielewski  
TBL | Brian Boyle | Fighting (maj) | HOME | MIN | 2014-10-25 | Chris Lee | Tom Chmielewski  
MIN | Erik Haula | Holding | AWAY | TBL | 2014-10-25 | Chris Lee | Tom Chmielewski  
MIN | Matt Cooke | Hi-sticking | AWAY | TBL | 2014-10-25 | Chris Lee | Tom Chmielewski  
TBL | Brian Boyle | Charging | HOME | MIN | 2014-10-25 | Chris Lee | Tom Chmielewski  
MIN | Nate Prosser | Slashing | AWAY | TBL | 2014-10-25 | Chris Lee | Tom Chmielewski  
MIN | Ryan Carter | Tripping | AWAY | TBL | 2014-10-25 | Chris Lee | Tom Chmielewski  
COL | Brad Stuart | Interference | AWAY | WPG | 2014-10-26 | Graham Skilliter | Tom Kowal  
WPG | Zach Bogosian | Hi stick - double minor | HOME | COL | 2014-10-26 | Graham Skilliter | Tom Kowal  
COL | Jan Hejda | Tripping | AWAY | WPG | 2014-10-26 | Graham Skilliter | Tom Kowal  
COL | John Mitchell | Roughing | AWAY | WPG | 2014-10-26 | Graham Skilliter | Tom Kowal  
COL | John Mitchell | Roughing | AWAY | WPG | 2014-10-26 | Graham Skilliter | Tom Kowal  
WPG | Dustin Byfuglien | Roughing | HOME | COL | 2014-10-26 | Graham Skilliter | Tom Kowal  
WPG | Matt Halischuk | Holding | HOME | COL | 2014-10-26 | Graham Skilliter | Tom Kowal  
WPG | Mathieu Perreault | Holding | HOME | COL | 2014-10-26 | Graham Skilliter | Tom Kowal  
COL | John Mitchell | Tripping | AWAY | WPG | 2014-10-26 | Graham Skilliter | Tom Kowal  
LAK | Matt Greene | Fighting (maj) | HOME | CBJ | 2014-10-26 | Dennis LaRue | Kevin Pollock  
CBJ | Corey Tropp | Fighting (maj) | AWAY | LAK | 2014-10-26 | Dennis LaRue | Kevin Pollock  
LAK | Matt Greene | Instigator | HOME | CBJ | 2014-10-26 | Dennis LaRue | Kevin Pollock  
